sysDescr.0    = Juniper Networks, Inc. mx80 internet router, kernel JUNOS 15.1R6.7, Build date: 2017-04-23 01:51:20 UTC Copyright (c) 1996-2017 Juniper Networks, Inc.
ifMtu.524     = 1514
ifMtu.525     = 1514
ifMtu.526     = 1514
ifMtu.527     = 1514
ifMtu.528     = 1514
ifMtu.529     = 1514
ifMtu.530     = 1514
ifMtu.531     = 1514
ifMtu.532     = 1514
ifMtu.533     = 1514
ifMtu.534     = 1514
ifMtu.535     = 1514
ifMtu.536     = 1514
ifMtu.537     = 1514
ifMtu.540     = 2147483647
ifMtu.542     = 2147483647
ifMtu.555     = 2147483647
ifMtu.583     = 1500
ifMtu.584     = 1500
ifMtu.585     = 9192
ifMtu.586     = 9192
ifMtu.587     = 9192
ifSpeed.1     = 1000000000
ifSpeed.4     = 0
ifSpeed.5     = 0
ifSpeed.6     = 0
ifSpeed.7     = 0
ifSpeed.8     = 0
ifSpeed.9     = 0
ifSpeed.10    = 0
ifSpeed.11    = 0
ifSpeed.12    = 0
ifSpeed.13    = 1000000000
ifSpeed.17    = 1000000000
ifSpeed.18    = 1000000000
ifSpeed.21    = 0
ifSpeed.22    = 0
ifSpeed.23    = 1000000000
ifSpeed.24    = 1000000000
ifSpeed.33    = 1000000000
ifSpeed.34    = 1000000000
ifSpeed.501   = 0
ifSpeed.502   = 0
ifSpeed.503   = 0
ifSpeed.504   = 0
ifSpeed.505   = 0
ifSpeed.506   = 800000000
ifSpeed.507   = 0
ifSpeed.508   = 800000000
ifSpeed.509   = 800000000
ifSpeed.510   = 0
ifSpeed.511   = 0
ifSpeed.512   = 4294967295
ifSpeed.513   = 4294967295
ifSpeed.514   = 4294967295
ifSpeed.515   = 4294967295
ifSpeed.516   = 1000000000
ifSpeed.517   = 1000000000
ifSpeed.518   = 1000000000
ifSpeed.519   = 1000000000
ifSpeed.520   = 1000000000
ifSpeed.521   = 1000000000
ifSpeed.522   = 1000000000
ifSpeed.523   = 1000000000
ifSpeed.524   = 1000000000
ifSpeed.525   = 100000000
ifSpeed.526   = 1000000000
ifSpeed.527   = 1000000000
ifSpeed.528   = 1000000000
ifSpeed.529   = 1000000000
ifSpeed.530   = 1000000000
ifSpeed.531   = 1000000000
ifSpeed.532   = 1000000000
ifSpeed.533   = 1000000000
ifSpeed.534   = 1000000000
ifSpeed.535   = 100000000
ifSpeed.536   = 0
ifSpeed.537   = 1000000000
ifSpeed.540   = 0
ifSpeed.542   = 0
ifSpeed.555   = 0
ifSpeed.583   = 100000000
ifSpeed.584   = 100000000
ifSpeed.585   = 1000000000
ifSpeed.586   = 1000000000
ifSpeed.587   = 1000000000
ifPhysAddress.1 = 88 e0 f3 78  50 ff 
ifPhysAddress.4
ifPhysAddress.5
ifPhysAddress.6
ifPhysAddress.7
ifPhysAddress.8
ifPhysAddress.9
ifPhysAddress.10
ifPhysAddress.11
ifPhysAddress.12
ifPhysAddress.13 = 88 e0 f3 78  50 ff 
ifPhysAddress.17 = 02 00 00 00  00 04 
ifPhysAddress.18 = 02 00 00 00  00 04 
ifPhysAddress.21
ifPhysAddress.22
